"TotalBath","TotalRoom","TotalSF","Quality","Condition","Location","YearBuilt","Price"
3,3,2566,7,5,"Norm",2003,208500
2,3,2524,6,8,"Feedr",1976,181500
3,3,2706,7,5,"Norm",2001,223500
3,4,3343,8,5,"Norm",2000,250000
2,1,2158,5,5,"Norm",1993,143000
2,3,3380,8,5,"Norm",2004,307000
3,3,3197,7,6,"PosN",1973,200000
1,2,2068,5,6,"Artery",1939,118000
1,3,2080,5,5,"Norm",1965,129500
1,2,1824,5,6,"Norm",1962,144000
2,2,2506,6,5,"Norm",1960,157000
1,2,1686,7,8,"Norm",1929,132000
1,2,2008,6,7,"Norm",1970,149000
2,2,1296,4,5,"Norm",1967,90000
2,3,2228,5,5,"RRAe",2004,159000
1,3,1745,7,7,"Norm",1930,139400
2,3,3572,8,5,"Norm",2002,230000
1,3,2100,5,7,"Norm",1976,129900
1,3,2120,5,8,"Norm",1968,154000
2,3,3166,8,5,"Norm",2007,256300
1,3,1800,5,7,"Norm",1951,134800
2,3,3408,8,5,"Norm",2007,306000
1,2,3084,5,6,"Norm",1957,207500
1,1,1040,4,6,"Feedr",1927,68500
1,3,1966,4,4,"Feedr",1920,40000
2,3,2456,5,6,"Norm",1966,149350
2,3,2468,8,5,"Norm",2007,179900
2,4,3098,5,5,"Norm",1959,165500
2,2,3122,9,5,"Norm",2005,277500
4,4,3569,8,5,"Norm",2004,309000
2,3,2194,5,5,"Norm",1994,145000
1,3,2594,5,6,"Norm",1954,153000
2,2,2678,5,6,"Norm",1959,170000
1,2,1724,5,7,"Norm",1983,144000
1,3,1876,5,6,"Norm",1975,130250
1,3,2300,5,6,"Norm",1959,141000
2,2,3504,9,5,"Norm",2005,319900
2,3,3312,8,5,"Norm",2006,249700
1,3,1910,5,7,"Norm",1966,127000
2,3,2264,6,6,"Norm",1997,177000
1,3,1992,6,6,"Norm",1934,114500
1,2,1632,5,5,"RRNn",1963,110000
1,0,3684,9,5,"Norm",1981,385000
1,3,1744,5,5,"Norm",1955,130000
2,3,2850,6,5,"Norm",1964,180500
3,3,2580,7,5,"Norm",2004,196500
1,2,1560,5,7,"Norm",1972,124900
1,3,1641,5,7,"Norm",1920,101000
2,2,2740,8,5,"Norm",2006,202500
2,3,2286,7,6,"RRAn",1921,140000
3,3,3091,7,5,"Norm",1997,219500
3,4,3616,8,5,"Norm",2004,317000
2,3,4154,7,5,"PosA",1970,180000
2,3,2932,7,5,"Norm",2003,226000
1,2,1494,4,6,"Artery",1945,80000
2,3,3591,7,4,"Norm",1953,225000
2,3,4446,7,6,"Norm",1973,244000
1,2,1690,4,6,"Norm",1982,129500
3,3,2550,7,5,"Norm",1998,185000
1,3,2172,5,7,"Norm",1954,144900
2,3,2445,3,6,"Norm",1915,107400
1,2,1450,4,5,"Norm",1973,91000
1,2,1904,4,7,"Norm",1956,135750
1,2,1957,5,5,"Norm",1948,127000
2,4,3536,4,5,"Norm",1968,136500
2,2,1670,5,6,"Norm",1910,110000
3,4,3038,6,6,"Norm",1968,193500
2,2,2574,6,5,"Norm",1998,153500
2,3,3126,8,5,"Norm",2007,245000
2,3,2130,5,5,"Norm",1960,126500
3,3,1858,7,5,"Norm",1995,168500
3,4,3705,8,5,"Norm",1991,260000
3,3,2244,6,5,"Norm",2005,174000
1,3,1980,4,5,"Norm",1994,123600
1,2,1040,4,5,"Norm",1950,109900
1,2,1840,5,7,"Norm",1921,163500
2,4,3505,6,6,"Norm",1910,133900
3,3,2610,6,5,"Norm",1997,204750
3,3,2150,6,8,"Norm",1993,185000
2,3,3176,7,5,"Norm",1999,214000
1,3,1920,4,5,"Norm",1965,94750
2,3,2175,4,5,"Norm",1959,128950
2,3,3220,6,7,"Norm",1977,205000
3,3,2473,6,5,"Norm",1985,178000
2,3,2452,7,5,"Norm",2009,198900
2,4,2858,7,4,"Norm",1931,169500
3,3,3045,8,5,"Norm",2003,250000
1,2,1688,4,7,"Norm",1885,100000
2,3,2310,5,7,"Artery",1919,115000
2,3,3688,6,6,"Norm",1977,190000
2,4,2849,6,4,"Norm",1954,136900
3,3,1814,7,5,"Norm",2000,180000
3,3,3348,6,8,"Norm",1945,259500
3,2,2187,6,5,"Norm",1999,176000
1,3,2184,5,5,"Norm",1962,139000
3,5,4895,7,5,"Norm",1990,320000
1,1,1926,6,5,"Norm",1969,180000
1,3,1855,4,5,"Norm",1939,100000
1,3,2160,6,7,"Norm",1958,136000
2,2,2398,6,5,"Norm",1993,153900
2,3,2948,6,5,"Norm",1979,181000
1,2,1274,6,8,"Norm",1935,84500
2,2,2036,6,5,"Norm",1976,128000
1,3,1512,5,7,"Feedr",1930,87000
2,3,2008,6,5,"PosN",1966,155000
3,4,3081,7,6,"Norm",1966,226000
3,3,3046,6,5,"Norm",2000,244000
1,3,2390,5,6,"Norm",1959,150750
2,2,2563,8,5,"Norm",2001,220000
3,3,3182,5,6,"Norm",1968,180000
2,3,2986,7,6,"Norm",1970,174000
2,3,2428,5,5,"Norm",1967,143000
3,3,2856,8,5,"Norm",1999,230000
3,3,2692,6,5,"Norm",1997,231500
1,3,1728,4,5,"Norm",1971,115000
2,3,3468,7,5,"Norm",2005,260000
2,4,2295,5,4,"Artery",1952,166000
2,3,2991,7,5,"Norm",1999,204000
2,3,2679,6,5,"Norm",2004,130000
1,2,1590,5,7,"Norm",1931,105000
3,3,2919,7,5,"Norm",2001,222500
1,3,2160,7,5,"Norm",2004,141000
1,3,2240,5,4,"Norm",1936,115000
2,3,1938,5,6,"Norm",1975,122000
3,4,2818,6,5,"Norm",1971,190000
1,1,2854,6,7,"Norm",1960,235000
1,2,1668,6,5,"Artery",1924,79000
1,2,1040,5,7,"Norm",1950,109500
3,3,2938,7,5,"Norm",2004,254900
2,3,2464,6,6,"Norm",1984,162500
3,3,4240,9,5,"Norm",2003,412500
1,1,1764,4,6,"Norm",1956,103200
2,3,2765,6,7,"Norm",1926,152000
2,4,1999,5,7,"Norm",1940,127500
1,2,3484,5,5,"Norm",1955,190000
3,3,2560,7,5,"Norm",2004,183500
3,2,3393,8,6,"Norm",1981,228000
2,2,2102,5,6,"Feedr",1941,128500
1,3,2736,6,5,"Norm",1960,215000
2,2,2831,7,7,"Norm",1987,239000
2,3,2724,6,5,"Norm",1961,163000
2,3,3257,6,5,"Norm",1986,184000
2,4,3360,6,7,"Norm",1950,243000
3,4,3211,6,5,"Norm",1988,211000
2,4,2972,5,5,"Norm",1958,172500
1,2,1936,5,6,"Norm",1923,100000
3,3,2281,6,5,"Norm",2000,177000
2,4,2595,7,6,"Norm",1920,200100
1,3,1340,5,6,"Artery",1957,120000
3,3,3444,7,5,"Norm",2003,200000
1,3,1756,5,8,"RRAn",1908,127000
3,4,4715,10,9,"Artery",1892,475000
2,3,2405,7,5,"Norm",1990,173000
3,3,2316,5,7,"Norm",1916,135000
2,0,3186,8,5,"Norm",2001,286000
3,3,3580,8,8,"Norm",1932,315000
2,4,2204,7,9,"Norm",1972,184000
2,3,2862,7,5,"Norm",1999,192000
2,3,2679,7,5,"Norm",2004,130000
1,3,1728,5,7,"Norm",1972,127000
3,3,2311,6,6,"Norm",1976,148500
2,3,3426,8,5,"Norm",2004,274900
2,2,2242,4,5,"Norm",2003,140000
2,3,2475,6,6,"Norm",1977,171500
2,2,1927,6,6,"Artery",1924,112000
1,1,1696,6,5,"Norm",2004,149000
2,2,2004,5,7,"Norm",1947,110000
2,3,2866,7,5,"Norm",1990,180500
2,3,2836,5,5,"RRAe",1962,143900
1,3,2200,4,5,"Norm",1960,141000
3,3,3219,7,5,"Norm",1988,277000
1,3,2184,6,7,"Norm",1964,145000
1,2,1728,5,6,"Norm",1925,98000
2,3,2424,6,5,"Norm",2009,186000
1,3,1980,5,5,"Norm",1995,156000
2,3,2081,6,7,"Norm",1977,161750
1,2,2306,5,6,"Norm",1957,134450
2,3,2872,7,5,"Norm",2004,210000
2,3,2752,7,9,"Norm",1939,311500
3,4,3277,6,5,"Norm",2002,200000
3,3,2265,6,6,"RRAn",1975,179900
2,3,4784,10,5,"Norm",2003,386250
2,2,1470,6,6,"Norm",1970,106000
1,3,1824,5,5,"Feedr",1967,125000
2,2,2928,7,5,"Norm",2005,192500
1,3,2388,6,6,"Norm",1959,148000
3,4,4256,8,5,"Norm",1995,403000
2,2,1470,6,5,"Norm",1972,94500
1,3,1788,5,6,"Norm",1976,128200
3,4,2820,6,5,"Norm",2002,216500
2,2,1470,6,3,"Norm",1971,89500
2,3,2828,7,5,"Norm",2004,185500
3,3,2740,7,7,"RRNe",1993,194500
2,3,2222,6,4,"Norm",1945,113000
2,3,3132,8,5,"Norm",2008,262500
1,2,1552,5,9,"Norm",1945,110500
1,3,1980,5,4,"Norm",1900,79000
2,3,1843,6,6,"Norm",1980,120000
3,3,3058,7,5,"Norm",1994,205000
2,3,3717,7,5,"Norm",1988,241500
2,4,2948,6,8,"Norm",1910,137000
1,2,2742,6,5,"Norm",1954,140000
3,3,2508,7,5,"Norm",2003,180000
2,4,3588,6,7,"Norm",1958,277000
1,3,2034,3,2,"Norm",1940,76500
3,3,2438,6,5,"Norm",2004,173000
2,3,2604,6,7,"Norm",1964,158000
1,3,2628,5,6,"Norm",1957,145000
3,4,3266,7,5,"Norm",1999,230000
3,3,2592,6,5,"Norm",2003,207500
3,3,2755,7,5,"Norm",2001,231500
1,2,882,5,5,"Norm",1956,97000
1,3,2744,6,5,"Artery",1962,176000
1,3,1718,6,7,"Norm",1977,151000
1,3,2242,5,7,"Norm",1929,130000
1,2,1444,5,5,"Artery",1925,73000
2,3,2844,6,6,"Norm",1981,175500
3,3,2313,6,5,"Norm",1997,185000
3,4,2912,5,8,"Norm",1939,179500
1,2,1518,5,6,"Norm",1940,120500
2,3,2256,6,7,"Norm",1976,148000
1,2,2748,7,7,"Norm",1954,241500
3,4,3422,8,7,"Norm",1999,290000
2,3,2872,6,6,"Feedr",1958,139000
1,2,1632,5,7,"Norm",1982,124500
3,3,2500,7,7,"Norm",1925,205000
2,3,3120,7,5,"Norm",2003,201000
1,2,1728,4,5,"Norm",1951,141000
3,4,3182,7,5,"Norm",1977,192000
3,3,2789,7,6,"Norm",1989,228500
2,2,2628,7,5,"Norm",2007,207500
2,2,3150,6,5,"Norm",1992,179200
2,3,2646,6,7,"Norm",1962,159000
1,3,1716,4,4,"Norm",1971,88000
1,3,1782,5,5,"Norm",1967,122000
1,3,2094,6,7,"RRAn",1915,153575
2,6,2496,5,6,"Norm",1912,135900
2,3,2484,5,4,"Norm",1949,131000
3,3,3058,7,7,"PosA",1977,235000
1,3,3060,6,5,"Norm",1953,167000
1,3,2006,6,6,"Norm",1984,142500
2,4,2468,5,5,"Norm",1950,152000
3,3,2925,7,5,"Norm",1997,239000
3,3,2445,6,6,"Norm",1968,175000
1,2,2501,5,5,"Norm",1953,157000
3,4,3480,8,5,"Norm",1998,267000
2,3,3082,7,5,"Norm",2001,205000
3,3,4963,7,9,"Norm",1880,295000
2,3,4000,8,5,"Norm",2004,305900
3,4,2943,7,5,"Feedr",1990,225000
1,3,1725,6,7,"Artery",1920,89500
1,1,1722,4,5,"Norm",1940,82500
2,3,3840,9,5,"Norm",2003,360000
3,3,2198,6,5,"Norm",1993,165600
1,2,1944,6,6,"Norm",1948,132000
1,3,1911,5,7,"Artery",1939,119900
2,3,4172,7,5,"Norm",1965,375000
2,3,2369,7,7,"Norm",1925,178000
3,3,2148,7,5,"Norm",2004,188500
3,4,3198,7,7,"Norm",1980,260000
3,3,3047,8,5,"Norm",2006,270000
3,4,3993,7,5,"Norm",1993,260000
2,3,2844,7,5,"Norm",1980,187500
3,4,3604,8,5,"Norm",2004,354000
3,4,4232,7,5,"Norm",1986,301000
1,3,2325,3,8,"Norm",1955,126175
3,5,3688,7,7,"PosN",1967,242000
1,2,1523,5,6,"RRAe",1941,87000
2,1,3438,8,5,"Norm",1993,324000
2,3,2766,6,5,"Norm",1960,145250
2,5,2978,6,6,"PosN",1916,214500
1,3,1788,5,5,"Norm",1920,78000
2,6,3456,5,4,"Norm",1964,119000
1,3,2112,5,6,"Norm",1958,139000
2,3,4835,8,5,"Norm",2003,284000
2,2,2716,7,5,"Norm",2004,207000
3,3,2581,6,5,"Norm",1998,192000
2,3,3285,5,6,"Norm",1965,228950
2,3,3844,9,5,"Norm",2005,377426
2,3,3072,7,5,"Norm",2002,214000
2,3,2829,7,7,"Norm",1984,202500
1,3,2430,6,7,"Feedr",1958,155000
3,4,2875,8,5,"Norm",2002,202900
1,2,1562,4,4,"Feedr",1950,82000
2,2,1040,3,4,"Norm",1949,87500
2,2,3368,9,5,"Norm",2005,266000
2,3,1648,5,3,"Norm",1976,85000
1,3,2549,6,5,"RRAn",1939,140200
1,2,1916,6,8,"Norm",1960,151500
2,3,2956,6,5,"Norm",1960,157500
3,2,2390,7,5,"Norm",2003,154000
1,3,1727,5,6,"Artery",1941,95000
1,2,1344,6,8,"Norm",1928,105900
1,2,2535,6,5,"Norm",1940,140000
2,3,2400,6,5,"Norm",1995,177500
2,3,2325,6,6,"Norm",1992,173000
2,3,2284,5,5,"Norm",1976,134000
3,3,3010,8,5,"Norm",1998,280000
1,2,1800,6,6,"Norm",1978,156000
1,3,2388,5,5,"Norm",1940,145000
3,4,1922,7,5,"Norm",2003,198500
2,2,1470,6,8,"Norm",1972,118000
3,3,2370,6,5,"Norm",1976,190000
1,3,2016,5,7,"Norm",1920,147000
2,3,2788,6,5,"Norm",1963,159000
1,3,2530,6,5,"Norm",1962,165000
1,2,2536,5,6,"Norm",1954,132000
1,3,2350,5,7,"Norm",1959,162000
3,3,2617,6,5,"Norm",2000,172400
2,4,1588,4,4,"Feedr",1959,134432
1,2,1496,6,5,"Norm",1984,125000
1,3,1927,5,6,"Norm",1953,123000
3,4,2775,7,5,"Norm",2003,219500
1,1,1587,1,1,"Norm",1922,61000
1,2,1784,5,5,"Norm",1996,148000
3,4,4046,8,5,"Norm",2004,340000
3,3,2782,6,5,"RRAn",2000,179000
2,3,2717,5,6,"Norm",1924,127000
3,3,2736,7,5,"Norm",2006,213500
1,2,1568,6,3,"Norm",1928,76000
3,3,3533,6,5,"Feedr",1992,240000
2,2,2525,8,5,"Norm",2004,192000
2,3,2947,7,5,"Norm",1999,191000
1,4,2228,5,8,"Norm",1900,119000
3,3,2765,6,5,"Norm",2001,215000
1,3,882,5,7,"Norm",1959,106500
1,2,1769,5,6,"Norm",1940,109000
1,3,2288,5,6,"Norm",1956,129000
1,2,1788,5,5,"Norm",1972,123000
2,4,2676,5,5,"PosN",1962,169500
2,2,2642,7,5,"Norm",2006,241000
2,1,2548,8,5,"Norm",1996,245500
1,2,1344,5,8,"Norm",1940,108000
3,3,2378,6,5,"Norm",1995,168000
2,3,2901,4,4,"Feedr",1976,150000
1,3,2703,6,5,"Norm",1936,115000
2,4,2520,6,7,"Norm",1915,177000
1,3,2112,5,5,"Norm",1955,145000
1,2,2036,5,6,"Artery",1927,115000
3,3,3177,7,5,"Norm",1993,228000
2,3,2072,6,7,"Norm",1978,149500
3,4,3994,6,6,"Feedr",1918,239000
1,3,2112,5,6,"Norm",1968,142000
2,3,3204,6,7,"Norm",1977,215000
1,2,1976,5,5,"Artery",1954,113000
3,4,4100,8,5,"Norm",1998,315000
1,2,2392,6,5,"Norm",1956,139000
2,3,2040,7,8,"Norm",1946,135000
2,2,3162,7,5,"Norm",1989,275000
1,3,1814,4,6,"Norm",1957,109008
2,3,2804,6,5,"Norm",1988,175000
2,2,2130,5,5,"Norm",1971,122500
3,3,2530,6,5,"Norm",1997,181000
1,1,1260,4,7,"Norm",1972,81000
3,3,2460,7,6,"PosN",1996,212000
1,2,1766,6,8,"Norm",1920,116000
1,2,1788,6,7,"Norm",1926,119000
1,2,1134,5,6,"Norm",1913,90350
1,3,1880,6,8,"Norm",1920,110000
2,2,5496,10,5,"Norm",2008,555000
2,4,2880,4,4,"Norm",1955,118000
2,3,2651,5,7,"Norm",1930,162900
3,4,2823,7,5,"Norm",1994,210000
1,3,3125,6,5,"Norm",1956,127500
3,2,3405,6,6,"PosA",1966,190000
3,4,2816,7,5,"Norm",1998,199900
2,3,2156,6,6,"Norm",1937,119500
2,2,1832,3,7,"Norm",1948,120000
1,2,1626,6,8,"Norm",1930,110000
2,2,3066,7,5,"Norm",1975,280000
3,3,2628,6,5,"Norm",1996,204000
3,3,2358,8,5,"Norm",2008,210000
2,3,2484,7,6,"Norm",1973,175500
1,2,3027,4,6,"Norm",1954,256000
1,3,2254,8,7,"Norm",1925,161000
1,3,1912,5,4,"Norm",1950,110000
1,3,1695,7,9,"Feedr",1936,155000
1,3,1728,5,5,"Norm",1965,62383
2,3,2375,6,7,"Norm",1934,188700
2,3,2080,5,5,"Norm",1978,124000
2,2,2789,7,5,"Norm",2004,178740
1,2,2554,7,5,"Norm",1970,167000
2,3,2372,5,7,"Artery",1942,146500
2,3,3260,8,5,"Norm",2006,250000
3,3,2542,6,5,"RRNe",1993,187000
2,1,2990,8,5,"Norm",1985,212000
3,3,2777,7,6,"PosA",1977,190000
1,2,1619,6,5,"Norm",2005,148000
2,2,3146,8,5,"Norm",2000,251000
1,2,1940,5,6,"Norm",1963,132500
2,3,2971,6,5,"Norm",1997,208900
3,3,4796,9,5,"Norm",2006,380000
2,3,3423,8,5,"Norm",2007,297000
2,3,3683,9,5,"Norm",2004,326000
2,2,3584,9,5,"Norm",2003,374000
2,4,2736,7,8,"Norm",1915,155000
2,2,2432,6,5,"Norm",1998,164000
1,3,1998,5,7,"Norm",1962,132500
1,3,2226,5,7,"Norm",1950,147000
2,3,2146,5,7,"Norm",1965,156000
2,3,2968,5,6,"Norm",1971,175000
2,3,3368,5,4,"Norm",1900,160000
1,1,1260,4,8,"Norm",1970,86000
2,3,1568,5,6,"Norm",1976,115000
1,3,2384,6,7,"Artery",1941,133000
2,3,2538,5,6,"Norm",1960,155000
1,2,1076,5,8,"Artery",1938,91300
3,4,6428,8,5,"Norm",1992,430000
2,4,2846,7,6,"Norm",1925,184000
1,3,1763,5,7,"Norm",1967,130000
1,2,1824,5,7,"Norm",1958,120000
2,3,1890,6,5,"Norm",1973,113000
3,3,2634,7,5,"Norm",2005,226700
1,2,2428,5,7,"Feedr",1965,140000
2,1,3302,7,8,"Norm",1959,289000
3,3,2177,6,5,"Norm",1974,147000
2,4,2920,5,5,"Artery",1952,124500
3,3,2688,8,5,"Norm",1993,215000
2,3,2067,7,9,"Norm",1928,161000
1,3,2082,5,6,"Norm",1959,124500
1,2,2371,5,7,"Norm",1951,164900
1,3,1728,5,5,"Feedr",1958,129900
2,3,2164,6,5,"Norm",1983,134000
1,2,1557,5,5,"Norm",1926,96500
3,3,3608,7,5,"Norm",1996,265000
3,3,2590,6,5,"Norm",1998,211000
2,3,3356,7,9,"Norm",1926,234000
2,3,1294,4,7,"Norm",1900,106250
2,3,2488,6,6,"Feedr",1957,150000
2,3,2668,6,7,"Feedr",1947,159000
3,3,3777,7,5,"Norm",1996,315750
2,3,2523,7,5,"Norm",2005,176000
1,2,1856,5,7,"Norm",1956,132000
1,2,1133,4,7,"Norm",1920,86000
2,3,1973,6,8,"RRNn",1920,128000
1,2,827,5,7,"Norm",1955,107500
1,1,334,1,3,"Norm",1946,39300
3,3,2121,8,5,"Norm",2004,178000
1,3,2464,5,7,"Norm",1910,107500
3,3,2604,7,5,"Norm",1998,188000
1,3,1728,4,5,"Norm",1972,111250
2,3,2210,5,5,"Norm",1968,158000
2,3,3182,8,5,"Norm",2001,272000
2,2,3676,9,5,"Norm",2006,315000
3,4,3254,8,5,"Norm",2000,248000
2,3,3330,7,5,"RRAn",1998,213250
1,1,1490,7,5,"Norm",1998,133000
3,4,3387,7,5,"Norm",1988,229000
2,3,2700,6,7,"Norm",1923,210000
1,2,1536,5,7,"Norm",1970,129500
1,2,1650,5,7,"Feedr",1955,125000
3,4,3006,7,5,"Norm",2003,263000
1,3,1856,5,6,"Norm",1957,112500
2,3,3426,8,5,"Norm",2006,255500
2,2,1126,4,5,"Feedr",1949,108000
3,3,3044,7,5,"Norm",2003,284000
1,2,2041,5,6,"Norm",1922,113000
1,2,2184,5,5,"Norm",1957,141000
2,3,1973,4,6,"Norm",1920,108000
3,3,2175,7,5,"Norm",1996,175000
2,2,2931,7,5,"Norm",2003,234000
2,3,2784,5,6,"Norm",1957,121500
1,2,2778,5,5,"Norm",1974,170000
1,3,1992,5,6,"Norm",1940,108000
2,4,2837,6,7,"Norm",1918,185000
3,4,3390,7,5,"Norm",1992,268000
2,4,2453,6,4,"Norm",1915,128000
3,4,3626,9,5,"Norm",2005,325000
2,3,3052,7,5,"Norm",2004,214000
2,1,3628,8,8,"Norm",1983,316600
1,2,1886,5,5,"Norm",1979,135960
2,6,3456,5,5,"Norm",1965,142600
3,3,1814,7,5,"Norm",2000,170000
1,3,1481,5,7,"Norm",1971,139000
2,3,2338,7,7,"Norm",1928,145000
2,4,2845,5,5,"Norm",1954,131500
1,3,2573,6,6,"Norm",1960,181900
1,3,1632,6,5,"Norm",1990,118500
4,3,4012,10,9,"Artery",1893,325000
1,3,2457,4,7,"Norm",1935,133000
1,2,1654,6,7,"RRAn",1918,130000
1,2,1700,5,6,"Norm",1982,137000
1,2,1677,5,6,"RRAn",1930,79500
3,3,2352,7,5,"Norm",2004,185900
3,3,4018,10,5,"Norm",2008,451950
1,2,1632,5,8,"Norm",1982,138000
1,1,1696,6,5,"Norm",2003,140000
1,3,1848,5,6,"Norm",1975,110000
1,3,2052,6,7,"Norm",1910,114504
2,3,3077,5,6,"Norm",1977,217500
3,3,2272,6,6,"Norm",1980,151000
3,3,2962,8,5,"Norm",2005,275000
2,3,2155,6,6,"Norm",1937,141000
3,2,1800,7,5,"Norm",2004,151000
2,3,2988,7,5,"Norm",2002,221000
3,3,2754,7,6,"Norm",1965,205000
1,3,2080,5,5,"Norm",1996,152000
3,3,2904,5,8,"Norm",1948,225000
1,3,2058,4,5,"Feedr",1961,118500
3,3,3593,9,5,"PosN",2000,313000
2,3,2064,6,6,"Norm",1978,148000
3,3,3171,8,5,"Norm",2001,261500
1,1,1260,4,6,"Norm",1972,75500
3,3,2292,6,5,"Norm",2002,183200
1,2,1664,6,6,"Artery",1954,105500
3,4,3744,8,5,"Norm",2003,305000
1,2,1728,3,3,"Norm",1914,67000
3,4,4136,6,7,"Norm",1974,240000
1,3,1960,5,6,"Norm",1977,135000
3,2,2268,6,5,"Norm",2000,168500
3,4,2522,6,5,"Norm",1972,165150
2,3,2232,6,6,"Norm",1962,160000
1,3,2400,5,5,"Norm",1960,139900
1,3,2676,6,6,"Norm",1955,153000
2,3,2598,6,5,"Feedr",1964,168500
2,2,3108,8,5,"Norm",2006,209500
1,3,2112,5,7,"Norm",1954,139400
0,0,2112,6,5,"Norm",1980,144000
1,1,1064,2,3,"Norm",1936,60000
2,3,2198,5,4,"Norm",1954,93000
1,2,1592,5,7,"Feedr",1910,85000
2,1,3036,8,5,"Norm",2003,274000
3,3,2986,7,5,"Norm",2001,226000
3,4,4656,8,7,"Norm",1972,345000
3,4,2400,5,5,"RRAn",1969,152000
2,3,1962,6,5,"Norm",1971,143250
1,3,1048,5,5,"Norm",1950,98300
1,3,2188,6,5,"Norm",1953,155000
2,4,2595,6,5,"PosN",1966,155000
1,1,1260,4,6,"Norm",1970,84500
3,3,2478,7,6,"Norm",2007,205950
1,4,2265,4,5,"Artery",1940,108000
3,2,2596,7,5,"Norm",1996,191000
1,3,2225,6,7,"Norm",1906,135000
3,2,4222,8,6,"Norm",1995,350000
2,3,2106,5,7,"Norm",1959,145500
2,3,2278,7,6,"Norm",1931,149000
1,3,2972,5,7,"Norm",1964,167000
3,3,2728,7,7,"Norm",1976,197900
3,4,4077,8,7,"Norm",1994,402000
1,2,2784,6,3,"Norm",1968,110000
2,3,2319,4,5,"Norm",1972,137500
3,3,3342,8,5,"Norm",2000,230500
2,3,3087,6,5,"Norm",1994,193500
2,3,2625,5,6,"Norm",1956,168000
1,2,1880,4,5,"Norm",1922,137500
3,3,2214,6,5,"Norm",2005,173500
2,3,2041,6,6,"Artery",1925,103600
2,3,2416,6,6,"Norm",1977,165000
2,3,3316,6,7,"Norm",1957,257500
1,3,2272,6,6,"Norm",1965,140000
3,3,2296,6,6,"Norm",1978,148500
2,4,2869,4,2,"Norm",1900,87000
1,2,1560,5,8,"Norm",1924,109500
1,3,1976,5,5,"Norm",1961,128500
2,2,1846,6,5,"Norm",1980,143000
1,2,2582,6,5,"Norm",1996,173000
2,3,3294,9,5,"Norm",2002,285000
3,4,3034,7,5,"Norm",1998,221000
2,3,3280,7,5,"Norm",1984,207500
3,2,1653,7,5,"Norm",2004,148800
2,2,2724,6,5,"Norm",2005,194700
1,1,1696,6,5,"Norm",2004,141000
4,4,6760,10,6,"Norm",1994,755000
3,4,3729,7,5,"Norm",1989,335000
2,3,2466,5,6,"Norm",1936,141500
2,2,2249,6,6,"Norm",1987,176000
1,2,1232,5,7,"Norm",1921,89000
1,2,2128,5,7,"Norm",1952,123500
1,3,1788,5,8,"RRAe",1965,138500
2,2,2782,7,5,"Norm",2004,196000
2,3,3600,8,5,"Norm",2002,312500
2,3,2328,7,5,"Norm",1969,140000
2,4,2172,5,9,"Feedr",1900,140000
2,3,2957,7,5,"Norm",2004,213000
2,3,1092,4,5,"Norm",1930,55000
2,2,3467,7,5,"Norm",1971,302000
2,2,2648,8,5,"Norm",2006,254000
1,2,999,3,6,"Norm",1935,52000
2,2,2456,8,5,"Norm",1988,189000
1,3,1920,4,5,"RRAn",1970,129000
3,3,2204,6,8,"RRAe",1976,130500
2,3,2414,6,5,"Norm",1974,165000
2,3,3272,7,8,"Norm",1890,159500
2,3,2354,5,6,"Norm",1973,157000
3,3,3729,7,5,"Norm",1993,341000
2,3,1942,5,6,"Norm",1969,128500
2,2,3484,8,5,"Norm",1985,275000
1,1,1696,6,5,"Norm",2004,143000
1,3,1728,4,7,"Norm",1970,124500
2,4,2411,4,6,"Norm",1954,135000
2,3,3396,9,5,"Norm",2007,320000
1,3,1728,4,6,"Norm",1970,120500
2,3,2560,6,9,"Norm",1988,222000
2,2,2464,7,5,"Norm",2007,194500
1,2,1988,4,5,"Norm",1925,103000
2,2,3211,8,5,"Norm",1995,236500
