"TotalBath","TotalRoom","TotalSF","Quality","Condition","Location","YearBuilt","Price"
2,3,2014,7,5,"Norm",2003,187500
3,3,3184,7,5,"Norm",1998,222500
1,3,2008,5,6,"Feedr",1961,131400
2,2,2648,7,7,"Norm",1914,163000
2,2,1040,3,4,"Norm",1950,93500
3,3,2694,8,5,"Norm",2005,239900
3,3,2592,7,5,"Norm",2004,190000
1,3,1824,6,8,"Feedr",1961,142000
2,3,2698,7,5,"Norm",2000,179000
2,3,1984,5,6,"Norm",1963,175000
2,2,2674,8,5,"Norm",1993,180000
4,4,3857,8,9,"Norm",1976,299800
3,4,3208,7,5,"Norm",2000,236000
2,4,3880,7,7,"Norm",1880,265979
2,3,3440,7,5,"Norm",1996,260400
2,4,1529,4,3,"Norm",1945,98000
1,3,1716,4,7,"Norm",1910,96500
3,3,1980,7,5,"RRAn",2003,162000
2,3,2973,6,5,"Norm",1997,217000
3,3,3128,8,5,"Norm",2005,275500
1,3,2052,6,8,"Norm",1969,156000
3,3,2200,6,5,"Norm",1999,172500
3,3,2634,8,5,"Norm",2007,212000
3,3,2245,7,5,"Norm",1999,179400
3,4,3849,8,5,"Norm",1995,290000
1,2,1728,6,6,"Norm",1959,127500
1,2,2446,5,5,"Feedr",1924,100000
3,3,2303,7,5,"Norm",2009,215200
3,3,3617,8,5,"Norm",1999,337000
2,2,2988,8,5,"Norm",1995,270000
3,3,2694,7,5,"Norm",1988,196500
2,4,2733,6,7,"Norm",1940,160000
2,3,3696,7,5,"Norm",2004,216837
4,4,4929,8,5,"Norm",2003,538000
1,2,1716,5,5,"Norm",1982,134900
1,2,2056,4,5,"Norm",1951,102000
1,2,1824,5,5,"Feedr",1958,114500
2,2,2408,6,5,"Norm",1998,162000
1,3,1758,5,5,"Norm",1974,142500
2,4,2020,5,5,"Feedr",1977,144000
1,2,1979,6,5,"Norm",1977,135000
2,3,2490,7,5,"Norm",1995,176000
3,3,2364,6,5,"Norm",1992,175900
2,3,2843,7,5,"Norm",2001,187100
1,1,2207,5,6,"Norm",1978,165500
2,3,2226,6,6,"Norm",1914,128000
2,3,2714,6,5,"Feedr",1967,161500
2,4,2338,5,6,"Artery",1915,139000
3,4,3040,7,5,"Norm",2004,233000
1,2,1802,4,7,"Norm",1954,107900
3,5,2919,6,8,"Norm",1966,187500
2,2,2290,7,5,"Norm",2005,160200
1,3,2091,6,5,"Norm",1976,146800
3,3,3130,7,5,"Norm",1996,269790
3,3,2607,7,5,"Norm",1994,194500
3,3,2214,6,6,"Norm",1980,171000
2,3,1945,6,5,"Norm",1977,143500
2,3,2499,5,7,"Feedr",1937,175000
3,4,2304,6,5,"Feedr",1997,200000
1,2,2392,4,7,"Norm",1916,109900
3,3,2184,7,5,"Norm",2005,189000
2,3,1960,5,5,"Norm",1967,135500
2,3,2900,5,6,"Norm",1923,223500
1,3,2110,5,5,"Norm",1966,159950
2,2,2987,5,5,"Norm",1898,106000
2,3,2349,6,6,"Norm",1974,181000
1,1,1696,6,5,"Norm",2004,144500
2,4,2884,6,6,"Norm",1958,157900
2,3,1936,5,7,"Norm",1918,116000
2,3,3310,7,5,"Norm",1998,224900
1,2,2016,5,6,"Norm",1954,137000
2,3,3257,8,5,"Norm",2002,271000
1,3,2062,6,7,"Norm",1971,155000
3,3,2438,7,5,"Norm",2003,183000
1,2,1872,4,4,"Norm",1953,93000
2,3,2267,6,7,"Norm",1940,139500
1,2,1568,5,6,"Norm",1924,109500
2,3,2888,7,5,"Norm",2001,189000
3,2,1823,7,5,"Norm",2005,147400
2,3,2784,6,5,"Norm",1957,166000
3,2,1800,7,5,"Norm",2005,151000
3,3,2770,7,6,"Norm",2003,237000
2,3,3032,6,6,"Norm",1964,167000
1,3,2288,5,6,"Norm",1961,139950
2,2,2134,4,7,"Norm",1950,128000
1,2,3118,5,6,"Norm",1948,153500
2,2,1470,6,5,"Norm",1973,100000
2,3,2198,5,6,"Norm",1995,144000
1,3,1968,5,6,"Norm",1946,130500
2,4,2154,6,8,"Norm",1925,140000
2,3,2189,5,8,"Norm",1904,157500
2,3,2292,6,7,"Norm",1966,174900
2,6,3600,5,4,"Artery",1961,141000
2,4,2292,5,8,"Artery",1915,153900
2,3,3091,5,5,"RRAe",1975,171000
3,3,2515,7,5,"Norm",1993,213000
1,3,1728,5,6,"Norm",1972,133500
3,5,3265,6,8,"Norm",1908,240000
3,3,2383,6,7,"Feedr",1976,187000
1,1,1696,6,5,"Norm",2003,131500
2,2,2729,8,5,"Norm",2003,215000
2,4,2564,7,5,"Norm",1941,164000
2,3,2572,6,6,"Norm",1964,158000
2,3,2080,5,8,"Norm",1962,127000
1,3,1966,6,6,"Norm",1978,147000
3,3,2183,6,5,"Norm",1994,174000
3,4,3708,6,7,"PosA",1968,250000
2,3,2338,7,8,"Norm",1918,189950
2,3,2078,5,4,"Norm",1965,131500
2,3,2137,6,5,"Norm",1984,152000
1,3,2296,5,5,"Norm",1959,132500
1,3,2004,5,6,"Norm",1970,148500
2,3,2160,4,5,"Feedr",1961,129000
2,2,2320,5,6,"Feedr",1948,169000
3,3,2999,7,5,"Norm",1993,236000
1,2,1788,5,5,"PosN",1962,109500
3,3,2486,6,5,"Norm",1998,200500
1,3,1015,5,7,"Norm",1953,116000
1,3,2100,5,7,"Norm",1949,133000
1,3,2104,4,5,"Norm",1963,132250
3,4,3686,9,5,"Norm",2004,350000
1,3,2264,5,7,"Norm",1961,148000
1,3,1728,5,8,"Norm",1978,136500
2,2,2180,5,5,"Norm",2005,157000
3,3,2873,7,5,"Norm",1990,187500
3,3,2401,6,5,"Norm",1992,178000
1,5,3025,4,5,"Norm",1912,118500
1,3,1784,5,5,"Norm",1967,100000
2,3,2209,5,7,"Norm",1955,135500
2,4,4434,8,6,"Norm",1970,268000
1,2,3010,6,4,"Feedr",1953,149500
1,3,1596,5,7,"Artery",1949,122900
3,3,2601,6,5,"Norm",1978,172500
1,3,2127,6,8,"Norm",1963,154500
1,3,2766,5,5,"PosN",1954,165000
2,4,2576,6,5,"Norm",1963,140000
1,3,2148,5,7,"Feedr",1961,135000
1,2,1716,4,6,"Norm",1971,110000
1,2,2298,5,7,"Norm",1957,153000
3,3,2292,7,5,"Norm",2003,180000
1,3,1778,5,6,"Norm",1967,125500
1,3,2119,5,5,"Norm",1954,128000
2,3,3259,8,5,"Norm",2006,255000
2,3,3074,7,7,"Norm",1936,250000
1,2,1766,5,5,"Norm",1983,131000
3,3,2226,6,5,"Norm",2005,174000
2,5,3379,5,5,"Feedr",1960,154300
2,3,2536,5,7,"Norm",1977,143500
2,4,3003,5,6,"Norm",1949,145000
2,3,1638,4,5,"Norm",1970,75000
1,3,2363,4,6,"Norm",1956,135000
3,4,3231,7,5,"Norm",1991,238000
1,3,2598,6,8,"Norm",1958,176500
3,3,2649,6,5,"Norm",1994,201000
4,4,3472,5,7,"Feedr",1900,145900
2,2,3221,6,5,"Norm",1993,193000
2,3,3372,6,6,"Norm",1980,207500
3,4,3555,8,5,"Norm",2003,285000
3,4,2810,7,5,"Feedr",1968,176000
2,3,3541,8,5,"Norm",2001,236500
3,4,3200,7,5,"Norm",1997,222000
2,3,2932,8,5,"Norm",2007,201000
1,2,1850,5,6,"Norm",1965,117500
2,3,3810,9,5,"RRNn",2006,320000
2,3,3000,7,5,"Norm",2004,190000
2,4,2654,7,7,"PosA",1960,242000
1,1,1347,4,5,"Norm",1926,79900
2,2,2376,7,5,"Norm",2003,184900
3,3,3084,7,5,"Norm",2005,253000
2,4,3435,7,7,"Norm",1940,244400
2,4,3456,6,5,"Norm",1976,150900
3,3,3052,7,5,"RRNn",1999,214000
2,4,3264,5,4,"Norm",1967,143000
1,2,2957,5,6,"Norm",1890,124900
1,3,2288,5,6,"Norm",1959,143000
2,3,3245,8,5,"Norm",2002,270000
3,3,2712,7,5,"Norm",2002,192500
2,3,2542,6,7,"Norm",1972,197500
1,3,1728,5,8,"Norm",1950,129000
1,2,1536,5,8,"Norm",1972,133900
3,4,2752,5,4,"Norm",1969,172000
2,4,2937,6,6,"Norm",1946,145000
2,2,1790,6,6,"Norm",1980,124000
1,3,2114,5,5,"Norm",1962,132000
2,3,2674,7,5,"Norm",2003,185000
3,3,2112,7,5,"Norm",1999,155000
1,2,1716,5,7,"Norm",1958,116500
3,4,4202,6,7,"PosN",1977,272000
3,3,2352,6,6,"Norm",1976,155000
2,2,3600,9,5,"Norm",2007,239000
3,4,2711,7,5,"Norm",2002,214900
2,2,2036,5,7,"Norm",1940,160000
1,3,2196,5,7,"Norm",1955,135000
1,2,1683,6,5,"Norm",1958,140000
2,2,2390,7,5,"Norm",2003,173000
2,2,1836,6,5,"Norm",1979,99500
1,3,2747,7,8,"RRAn",1910,167500
3,3,2055,7,5,"Norm",2000,165000
1,2,1309,4,7,"Norm",1923,85500
1,3,2242,5,6,"Feedr",1963,139000
1,3,1943,7,9,"Norm",1961,178400
3,4,3837,8,5,"Norm",1998,336000
2,2,2532,7,5,"Norm",2007,159895
3,4,3418,8,5,"Norm",2002,255900
2,4,1734,5,5,"Norm",1977,126000
1,3,2328,5,5,"Norm",1950,125000
1,2,2120,6,8,"Feedr",1910,117000
3,4,2878,6,6,"Norm",1976,195000
3,3,3788,8,5,"Norm",1997,348000
2,4,2658,8,9,"Artery",1882,168000
3,3,2673,6,8,"Norm",1964,187000
2,3,3418,10,5,"Norm",2006,337500
1,3,2100,5,6,"Norm",1961,136500
2,2,2884,6,6,"PosA",1970,185000
1,3,2084,3,4,"Norm",1922,91000
2,2,2395,7,5,"Norm",2006,206000
1,2,944,3,3,"Norm",1952,82000
2,3,3148,8,5,"RRAn",2006,232000
2,4,3360,5,6,"Feedr",1976,136905
2,1,2850,7,5,"Norm",2005,181000
2,3,1970,5,8,"Norm",1977,149900
2,3,3314,6,3,"PosN",1970,163500
2,3,1638,4,4,"Norm",1970,88000
2,3,3420,7,5,"Norm",2004,240000
2,4,2530,5,5,"Norm",1926,102000
2,4,1991,5,5,"Norm",1948,135000
2,4,1664,5,5,"Norm",1965,100000
2,3,2104,6,7,"Norm",1923,165000
1,2,2044,5,4,"Norm",1910,85000
1,2,2164,6,5,"Artery",1948,119200
3,3,2475,8,6,"Norm",2001,227000
2,3,3008,7,5,"Norm",1996,203000
3,3,1856,7,5,"Norm",1991,160000
2,2,2868,7,5,"Norm",2005,213490
2,2,2264,4,5,"Norm",2005,176000
1,2,2160,5,5,"Norm",1930,87000
2,2,2850,7,5,"Norm",2005,191000
1,3,1764,5,5,"Norm",1972,112500
1,3,2532,5,5,"Feedr",1960,167500
1,3,2144,5,5,"Artery",1941,105000
2,3,1890,6,7,"Norm",1972,118000
2,5,2614,5,8,"Norm",1916,160000
3,5,3906,7,3,"Norm",1920,197000
2,3,3308,7,5,"Norm",2002,230000
1,2,1874,5,7,"Norm",1938,119750
1,3,845,4,3,"Norm",1957,84000
2,2,3240,9,5,"Norm",2007,315500
3,3,3318,8,5,"Norm",2001,287000
2,3,1890,4,6,"Norm",1970,97000
1,1,1260,4,4,"Norm",1970,80000
2,3,2937,5,4,"Norm",1957,155000
2,4,2432,6,8,"Feedr",1966,173000
2,1,2612,6,5,"Norm",2005,196000
3,4,3804,7,5,"Norm",1990,262280
3,4,5048,8,5,"PosN",1981,278000
2,4,1733,3,5,"Norm",1955,139600
1,3,1980,5,5,"Norm",1994,145000
1,3,1771,5,4,"Norm",1960,115000
2,4,2793,6,6,"Artery",1964,165000
1,4,2742,5,6,"Norm",1957,144500
3,3,3054,8,5,"Norm",2002,255000
2,2,2728,7,5,"Norm",2005,185850
3,3,2823,7,6,"Norm",1994,248000
3,3,3288,9,5,"Norm",2008,335000
2,3,2845,6,7,"Norm",1932,220000
2,2,2676,8,5,"Norm",2001,213500
1,2,1788,3,4,"Norm",1935,81000
2,5,2999,5,5,"Norm",1900,90000
1,2,2206,6,6,"Artery",1925,110500
2,3,2308,5,6,"Norm",1966,154000
3,3,3566,7,5,"Norm",1996,328000
3,3,2370,6,7,"Norm",1993,178000
2,4,2391,6,6,"Norm",1964,167900
3,5,3463,6,4,"Norm",1973,151400
1,2,1738,5,7,"Norm",1949,135000
1,3,2096,5,5,"Norm",1956,135000
2,4,2283,6,6,"RRAn",1968,154000
1,4,2266,5,3,"Artery",1948,91500
2,3,2116,6,6,"Norm",1977,159500
2,2,2480,7,5,"Norm",2006,194000
2,3,2540,7,6,"Norm",1940,219500
2,3,2262,5,8,"Norm",1936,170000
1,1,1696,6,5,"Norm",2004,155900
1,3,1980,5,5,"Norm",1994,126000
2,3,2080,5,5,"Feedr",1963,133000
2,3,2918,7,5,"Norm",2002,192000
1,3,2502,6,6,"Norm",1964,160000
3,3,2189,6,5,"Norm",1995,187500
1,2,1932,6,6,"Norm",1992,147000
2,3,1638,4,5,"Norm",1973,83500
3,3,3035,8,5,"Norm",2005,252000
2,3,2679,7,5,"Norm",2004,137500
2,1,2494,8,5,"Norm",2005,197000
2,2,1040,3,4,"Norm",1950,92900
3,2,1852,7,5,"Norm",1999,160000
2,4,2875,6,5,"Norm",1925,136500
2,1,2064,5,8,"Feedr",1965,146000
1,2,1872,5,7,"Norm",1956,129000
2,3,2628,6,5,"Norm",2006,176432
2,3,2039,6,7,"Norm",1914,127000
2,2,2162,8,5,"Norm",1986,170000
1,3,1996,4,6,"Norm",1936,128000
1,1,728,2,5,"Norm",1920,60000
1,3,1900,5,5,"Norm",1971,119500
1,3,1849,6,6,"Norm",1959,159500
3,3,1932,5,5,"Norm",1970,106000
3,3,4085,8,5,"Norm",1994,325000
2,3,2352,7,5,"Feedr",1990,179900
2,3,3672,8,5,"Norm",2004,280000
3,3,2431,6,5,"Norm",1995,188000
3,4,2767,7,6,"Norm",1976,205000
1,2,1632,5,7,"Norm",1957,129900
1,2,2016,5,7,"Norm",1953,134500
1,2,1666,5,7,"Norm",1954,117000
3,3,1827,8,5,"Norm",2002,184100
1,3,1788,5,7,"Feedr",1967,130000
1,3,2134,5,6,"Norm",1958,140000
1,3,2080,5,5,"Norm",1959,133700
1,2,2024,6,5,"Norm",1920,118400
1,2,1396,5,9,"Norm",1947,118000
3,3,1866,7,5,"Norm",1992,163900
1,2,2010,4,5,"Norm",1955,115000
2,2,2928,7,5,"Norm",2007,174000
3,4,2806,7,5,"Norm",2004,215000
1,2,1872,5,5,"Norm",1980,140000
2,4,3103,4,3,"Norm",1928,135000
2,5,3218,6,4,"Norm",1880,117500
3,3,3148,8,5,"Norm",1995,239500
3,3,2516,6,5,"Norm",1997,169000
1,2,1946,6,5,"Norm",1926,102000
1,2,1800,5,8,"Feedr",1875,94000
2,2,3134,6,5,"Norm",1977,196000
1,3,2082,5,5,"Norm",1920,144000
3,4,2648,5,7,"PosN",1976,197500
1,3,2012,5,3,"Norm",1959,80000
1,2,1596,4,4,"Norm",1941,80000
2,3,2596,6,5,"Norm",1985,180000
2,3,2268,7,7,"Norm",1941,174500
1,2,1683,7,7,"Norm",1926,116900
1,3,2132,7,9,"Artery",1920,143000
1,2,1864,6,5,"Norm",1950,124000
2,3,2932,5,4,"Norm",1959,149900
1,2,1632,6,8,"Norm",1930,120500
3,4,2684,7,6,"Norm",1965,201800
2,3,2874,5,8,"Norm",1976,218000
2,3,2484,5,8,"Norm",1965,179900
2,2,2628,7,5,"Norm",2007,230000
3,4,2777,6,6,"Norm",1974,185000
3,3,2311,6,5,"Norm",1978,146000
1,3,2936,6,7,"PosN",1954,224000
1,3,1788,5,5,"Norm",1968,129000
2,2,2792,5,7,"Feedr",1978,194000
2,3,3388,8,5,"Norm",2008,245350
3,3,2630,6,5,"RRAn",2000,173000
2,4,3235,6,7,"Norm",1935,235000
4,4,5557,10,5,"Norm",1995,625000
1,3,2214,6,6,"Norm",1977,171000
1,3,2522,6,6,"Norm",1958,163000
3,2,1875,7,5,"Norm",2006,171900
3,3,4684,5,6,"Norm",1946,200500
3,4,3297,6,8,"Norm",1932,239000
3,4,4555,8,5,"Norm",1992,285000
1,3,1799,5,5,"Norm",1984,119500
1,3,2042,6,8,"Artery",1926,115000
2,3,2074,5,6,"Norm",1921,154900
1,3,1124,5,5,"Norm",1954,93000
3,4,3730,7,5,"Norm",1990,250000
1,2,2250,5,6,"Norm",1920,120000
2,3,3144,5,4,"Norm",1963,186700
1,4,2005,5,7,"Norm",1924,104900
2,2,3248,8,5,"Norm",1994,262000
3,3,2491,7,5,"Norm",2002,195000
3,3,2798,7,5,"Norm",1999,189000
1,3,2871,4,4,"Norm",1961,168000
3,2,2217,8,5,"Norm",1999,174000
1,3,2174,5,8,"Norm",1925,125000
2,2,2448,6,5,"Norm",1999,165000
2,4,2015,6,7,"Norm",1969,158000
3,3,2184,6,5,"Norm",2005,176000
1,3,2505,7,6,"Norm",1916,144000
2,3,2424,7,5,"Norm",2001,178000
2,3,2433,4,5,"Norm",1963,148000
3,3,2645,7,5,"Norm",1998,197900
1,3,2232,5,8,"Norm",1925,117000
2,3,3260,7,5,"Norm",2000,213000
2,3,2130,5,6,"Norm",1975,153500
2,3,4354,7,7,"Norm",1990,271900
1,2,2112,4,4,"Norm",1966,107000
2,3,3382,6,5,"Norm",2003,200000
1,3,2214,5,7,"Norm",1962,140000
3,3,2900,6,5,"Norm",1992,189000
2,4,2311,8,7,"Norm",1988,164000
1,2,1344,4,6,"Norm",1941,113000
0,0,1608,4,9,"Norm",1965,145000
1,3,1924,5,5,"Norm",1962,134500
1,3,1788,5,5,"Norm",1966,125000
2,4,1902,6,5,"RRAe",1978,112000
1,2,912,4,5,"Norm",1947,80500
1,3,2163,5,5,"Feedr",1968,134000
2,3,2886,6,6,"Artery",1949,143000
2,4,4272,5,3,"Norm",1951,137900
3,3,2278,7,5,"RRAn",2004,184000
1,3,1726,6,8,"Norm",1958,145000
3,4,2827,6,5,"Feedr",2007,214000
1,2,1824,5,8,"Norm",1965,147000
2,4,2582,5,5,"Norm",1960,127000
4,4,3981,5,5,"Feedr",1977,190000
1,3,2296,5,6,"Norm",1962,132500
2,2,1224,4,5,"Norm",1962,101800
2,4,2531,5,5,"Norm",1914,138887
3,2,2390,7,5,"Norm",2003,175500
3,4,2795,7,5,"Norm",2004,195000
2,2,2960,8,5,"Norm",2006,265900
3,3,2652,7,5,"Norm",2003,224900
1,3,2309,8,7,"Norm",1929,230000
1,3,2046,6,5,"Norm",1976,169900
2,3,2793,6,5,"Norm",1917,129500
1,3,1864,5,7,"Norm",1950,119000
3,3,4220,7,5,"Norm",1968,244000
2,2,2810,7,5,"Norm",2003,171750
1,3,1738,5,6,"Norm",1968,130000
3,3,3359,7,7,"Norm",1974,294000
3,3,2402,7,5,"Norm",2003,165400
1,3,2251,6,6,"Norm",1931,127500
2,2,3973,8,5,"Norm",1994,301500
1,2,1728,5,8,"Feedr",1922,99900
2,2,2022,7,5,"Norm",2005,190000
2,3,2108,6,8,"Norm",1969,151000
3,3,2516,6,5,"RRAn",1999,181000
1,2,2100,5,6,"Norm",1956,128900
1,5,2892,4,5,"Norm",1957,161500
1,3,2588,6,6,"Norm",1919,180500
3,3,2143,7,5,"Norm",1999,183900
2,4,2814,7,4,"Feedr",1910,122000
2,3,4020,9,5,"Norm",2008,378500
4,4,4175,8,9,"Norm",1935,381000
2,3,2398,5,5,"Feedr",1958,144000
1,0,2856,7,6,"Norm",1979,260000
2,3,2978,6,7,"PosN",1968,185750
1,3,1870,5,6,"Norm",1965,137000
1,2,2376,6,7,"Norm",1959,177000
2,3,1911,5,6,"Norm",1910,139000
2,4,2848,5,5,"Feedr",1948,137000
2,3,2118,6,6,"Norm",1972,162000
2,3,3404,6,5,"Norm",1967,197900
3,3,3159,8,5,"Norm",2002,237000
2,3,3146,7,5,"Norm",2002,227000
2,2,2648,7,5,"Norm",1990,180000
2,3,2080,5,7,"Norm",1977,150500
4,4,2736,6,5,"Norm",1971,139000
2,4,3251,6,7,"Feedr",1919,169000
1,4,2192,6,6,"Norm",1939,132500
2,3,2656,6,5,"Feedr",1963,143000
2,4,3206,5,5,"Norm",1964,190000
2,2,3160,8,5,"Norm",2000,278000
1,3,2304,5,7,"Norm",1964,180500
3,3,1932,5,7,"Norm",1972,119500
2,4,3366,5,4,"Norm",1892,107500
3,4,2496,7,5,"Norm",1976,162900
1,2,1728,5,7,"Norm",1955,115000
2,3,2104,5,5,"Feedr",1968,138500
2,3,2248,5,6,"Norm",1963,155000
2,3,2492,5,7,"Norm",1959,154000
3,3,2961,7,5,"Norm",1999,225000
1,3,2265,6,7,"Norm",1942,177500
3,4,3691,8,5,"Norm",1994,290000
2,3,3232,7,5,"Norm",2005,232000
2,3,2684,7,5,"Norm",2004,130000
2,2,3304,9,5,"Norm",2006,325000
1,3,1980,5,5,"Norm",1994,138000
1,2,2046,5,7,"Norm",1948,147000
2,3,2572,6,5,"Norm",1991,179200
2,3,3804,7,8,"PosA",1959,335000
3,4,4263,8,5,"Norm",1990,302000
3,4,3992,9,5,"Norm",1999,333168
1,3,1896,4,6,"Norm",1954,119000
3,4,3064,6,5,"Norm",1969,206900
2,3,3252,8,5,"Norm",2008,295493
2,3,3540,8,5,"Norm",2001,275000
1,3,1812,4,5,"Norm",1954,111000
2,3,2956,6,3,"Norm",1957,156500
1,2,720,3,6,"Feedr",1949,72500
3,3,2673,7,5,"Norm",1992,190000
1,2,1128,4,7,"Norm",1940,82500
1,2,1592,4,4,"Norm",1922,55000
1,3,1318,3,6,"Norm",1931,79000
1,3,1632,5,9,"Norm",1982,130500
2,5,4302,6,7,"Norm",1920,256000
3,3,2567,7,5,"Norm",1998,176500
2,3,3176,8,5,"Norm",2006,227000
1,3,1865,5,5,"Norm",1976,132500
1,2,1632,4,6,"Norm",1938,100000
2,2,2163,5,6,"Norm",1938,125500
2,3,2130,5,6,"Norm",1970,125000
2,2,2684,6,5,"Norm",1977,167900
2,4,3312,5,5,"Feedr",1973,135000
1,2,1386,4,4,"Feedr",1941,52500
3,3,2777,7,5,"Norm",2002,200000
1,3,1728,5,7,"Norm",1972,128500
1,3,1730,4,5,"Norm",1971,123000
1,3,2228,6,5,"RRAe",2003,155000
3,3,3453,8,5,"Norm",2002,228500
2,3,2809,6,6,"Norm",1928,177000
1,2,1920,4,4,"Norm",1920,108500
2,3,3724,7,7,"PosN",1968,262500
2,3,2976,7,5,"Norm",1998,215000
2,4,3042,8,5,"Norm",1872,122000
4,6,3882,5,5,"Artery",1969,200000
2,4,2574,6,6,"Norm",1962,171000
1,2,1874,6,9,"Norm",1937,134900
3,4,5271,8,5,"Norm",1995,410000
3,3,2857,7,5,"Norm",2000,235000
3,4,2490,7,6,"Norm",1968,170000
1,3,1756,5,5,"Norm",1966,110000
2,3,2156,5,6,"Norm",1971,149900
3,3,2329,6,5,"Norm",2000,177500
2,3,3960,9,5,"Norm",2004,315000
4,4,3213,5,6,"Feedr",1921,189000
2,3,3060,7,5,"Norm",2005,260000
2,4,2453,4,4,"Feedr",1920,104900
3,3,2488,7,5,"Norm",2000,216000
2,4,2232,5,6,"Norm",1977,127000
1,1,1696,6,5,"Norm",2003,144000
2,3,3325,8,5,"Norm",2003,232000
1,2,2214,4,6,"Artery",1920,105000
1,3,2653,6,6,"Norm",1955,165500
3,3,3205,7,6,"Norm",1998,274300
3,2,5266,10,5,"Norm",2001,466500
3,3,2984,7,5,"Norm",2005,250000
1,2,1558,6,5,"Norm",1930,91000
2,3,2588,5,5,"Norm",1941,117000
2,2,1470,6,5,"Norm",1973,83000
3,3,1778,5,5,"Norm",2006,167500
1,2,1728,3,3,"Norm",1914,58500
3,4,3322,6,7,"Norm",1970,237500
2,4,2358,7,7,"Norm",1920,157000
2,3,2232,5,7,"Norm",1918,112000
1,2,1818,6,5,"Norm",1939,105000
1,3,1950,4,8,"Norm",1922,125500
4,5,4176,7,5,"RRAn",1978,250000
2,3,3492,9,5,"Norm",2006,377500
1,3,1953,6,6,"Norm",1941,131000
2,3,3050,7,5,"Norm",2000,235000
2,4,3168,5,5,"Norm",1967,124000
1,3,1764,5,5,"Norm",1967,123000
2,3,2394,6,7,"Norm",1905,163000
3,4,3576,8,5,"Norm",2005,281213
1,3,2434,5,5,"Norm",1948,160000
2,4,2452,5,8,"Norm",1920,137500
2,3,3112,5,4,"Norm",1950,138000
3,3,2584,6,6,"Norm",1925,137450
1,3,2020,6,7,"Norm",1929,120000
3,3,2432,6,5,"Norm",2004,193000
2,3,2949,8,5,"RRAn",2007,282922
2,2,3240,8,5,"Norm",2004,275000
1,2,1536,5,7,"Norm",1972,133000
1,3,1666,5,5,"Norm",1985,112000
1,3,1985,4,7,"Norm",1910,125500
3,3,2884,7,6,"Norm",1986,215000
3,3,2784,7,5,"Norm",2001,230000
2,3,2524,6,8,"Norm",1950,140000
2,2,1040,4,5,"Norm",1949,90000
2,4,2681,6,7,"Norm",1923,207000
2,1,2955,7,5,"Norm",2007,175900
2,4,3067,4,6,"Norm",1885,122500
3,3,3734,8,5,"Norm",1998,340000
2,3,2288,5,5,"Norm",1963,124000
2,3,3688,6,5,"Norm",1969,223000
3,3,2124,6,6,"Norm",1968,179900
2,2,2138,6,5,"Norm",1977,127500
1,1,1696,6,5,"Norm",2003,136500
1,2,2368,5,5,"Norm",1958,144000
1,3,2504,6,6,"Norm",1959,142000
3,3,3350,7,5,"Norm",1994,271000
2,3,2471,5,6,"Artery",1945,140000
2,3,2880,6,7,"Norm",1981,182900
3,4,2570,5,5,"RRAn",2005,192140
2,2,1916,6,6,"Norm",1976,143750
2,4,1624,4,6,"Norm",1927,64500
3,3,2728,6,5,"Norm",2000,186500
2,3,2252,5,5,"Norm",1977,160000
1,3,1728,4,6,"Norm",1971,120500
1,2,2148,6,7,"Artery",1957,149700
3,3,2264,7,6,"Norm",1979,197000
2,3,3143,6,7,"Norm",1922,191000
1,1,1696,6,5,"Norm",2004,149300
3,3,3024,10,5,"Norm",2008,310000
1,2,1904,6,6,"Norm",1916,121000
2,3,2844,7,5,"Norm",2004,179600
1,3,1727,6,5,"Norm",1966,129000
1,3,2376,5,7,"Norm",1962,157900
3,3,3310,8,5,"Norm",1995,240000
2,2,1906,4,7,"Norm",1910,112000
4,4,2688,5,5,"Norm",1974,136000
1,2,1619,5,5,"Norm",2005,145000
2,2,2442,7,5,"Norm",2004,185000
3,3,2600,6,5,"Norm",1999,175000
2,3,3615,6,6,"Norm",1978,210000
2,4,3492,7,9,"Norm",1941,266500
1,2,2156,5,6,"Norm",1950,142125
2,3,2512,5,6,"Norm",1965,147500
